bill_id,category_ids,category_labels,reason
s275-113,,,"The bill addresses regulatory deadlines for a hydroelectric project license under FERC and does not involve private employer wage, hour, or benefit obligations."
hr2915-113,,,"The bill addresses criminal prosecution for sex tourism involving minors and does not involve private employer wage, hour, or benefit obligations."
hr4030-113,,,"The bill designates a USPS facility name, which involves a government entity and does not regulate private employer wage, hour, or benefit obligations."
hr3402-113,,,"The bill regulates debt collection practices under the Fair Debt Collection Practices Act, which does not involve private employer obligations regarding wages, hours, or employee benefits."
s1778-112,,,"The bill appropriates federal funds for child care supplies under a block grant program and does not regulate private employer wage, hour, or benefit obligations."
hr6217-114,,,"The bill regulates reporting requirements for law enforcement officers, who are government employees, and does not address private employer wage, hour, or benefit obligations."
s2875-112,,,"The bill addresses tariff suspensions for specific textile products and does not regulate private employer wage, hour, or benefit obligations."
s826-114,,,"The bill addresses federal agency rulemaking procedures and judicial review of administrative actions, which does not involve private employer wage, hour, or benefit obligations."
hr4842-111,,,"The bill authorizes appropriations and establishes management structures for the Department of Homeland Security's Directorate of Science and Technology, focusing on government agency operations and research rather than private employer wage, hour, or benefit obligations."
s1592-113,,,"The bill addresses the individual mandate and health insurance exchanges under the Affordable Care Act, which concerns individual consumer obligations and government program administration rather than private employer wage, hour, or benefit plan misconduct."
s1665-113,,,"The bill focuses on legislative procedure and congressional transparency requirements, containing no provisions regulating private employer wage, hour, or benefit obligations."
hr2315-115,,,"The bill awards a Congressional Gold Medal to individuals for their service and contributions, which is a commemorative honor unrelated to private employer wage, hour, or benefit obligations."
s3528-112,,,"The bill addresses benefits and privileges for former Speakers of the House, which are government officials, and does not involve private employer wage, hour, or benefit obligations."
hr1181-114,,,"The bill focuses on motor vehicle safety regulations, NHTSA enforcement powers, and consumer protection regarding product defects, rather than private employer wage, hour, or benefit obligations."
hr1828-114,,,"The bill focuses on tax administration, IRS procedures, and taxpayer rights regarding tax disputes and penalties, rather than regulating private employer obligations for wages, hours, or employee benefits."
hr5687-112,,,"The bill addresses tariff suspensions for a specific chemical product under the Harmonized Tariff Schedule, which is unrelated to private employer wage, hour, or benefit obligations."
hr5978-114,,,"The bill focuses on U.S. Coast Guard acquisition procedures, military medical payments, and maritime regulations, which involve government agencies and public-sector entities rather than private employer wage, hour, or benefit obligations."
hr5168-112,,,"The bill addresses tariff suspensions for a specific chemical product under the Harmonized Tariff Schedule, which is unrelated to private employer wage, hour, or benefit obligations."
hr3711-112,,,"The bill focuses on international affairs and foreign aid for Haiti, involving no private employer wage, hour, or benefit obligations."
hr2137-115,,,"The bill addresses federal emergency response to environmental hazards caused by government activities, involving no private employer wage, hour, or benefit obligations."
s438-115,,,"The bill establishes a voluntary recognition program for hiring veterans and does not impose mandatory wage, hour, or benefit obligations on private employers, nor does it address corporate misconduct related to compensation or benefits."
s3728-111,,,"The bill focuses on intellectual property rights and copyright protection for fashion designs and vessel hulls, which does not involve private employer obligations regarding wages, hours, or employee benefits."
hr7065-115,,,"The bill adjusts tax credits for consumers purchasing plug-in electric vehicles and does not regulate private employer wage, hour, or benefit obligations."
s1848-112,,,"The bill focuses on U.S. contributions to and oversight of the United Nations, an international organization, and does not regulate private employer wage, hour, or benefit obligations."
s1548-112,,,"The bill extends the National Flood Insurance Program, a federal disaster relief and insurance initiative, and does not regulate private employer wage, hour, or benefit obligations."
hr1572-115,,,"The bill addresses electric utility rate structures and subsidies for customer-side technology, which does not involve private employer wage, hour, or benefit obligations."
s1723-112,,,"The bill provides federal grants to public entities (states, local educational agencies, and law enforcement/fire departments) for hiring and retention, and imposes an individual income tax surcharge; it does not regulate private employer wage, hour, or benefit obligations."
hr1139-115,,,"The bill concerns telecommunications subsidies and state regulatory authority over the Lifeline program, which does not involve private employer wage, hour, or benefit obligations."
s676-115,,,"The bill focuses on administrative procedures for the Office of Information and Regulatory Affairs (OIRA) within the federal government and does not address private employer obligations regarding wages, hours, or benefits."
hr3112-112,,,"The bill addresses international trade enforcement and nontariff barriers involving foreign countries, which does not involve private employer wage, hour, or benefit obligations."
hr5082-112,,,"The bill addresses tariff suspensions for specific industrial goods and does not regulate private employer wage, hour, or benefit obligations."
hr4804-115,,,"The bill addresses medical waivers and retirement benefits for federal law enforcement officers, which are government employees, and thus does not involve private employer wage, hour, or benefit misconduct."
hr4135-115,1.0,Wage Hour & Benefits,"The bill increases the tax exclusion limit for employer-provided educational assistance, directly regulating the financial incentives and obligations of private employers regarding employee welfare benefits."
hr2451-112,,,"The bill focuses on separating commercial and investment banking activities under the Glass-Steagall Act, which does not involve private employer wage, hour, or benefit obligations."
hr1563-112,,,"The bill authorizes a study of an archaeological site for potential National Park designation, which involves public lands and historic preservation rather than private employer wage, hour, or benefit obligations."
hr4107-112,,,"The bill authorizes the minting of commemorative coins and directs surcharges to a memorial foundation, involving no private employer wage, hour, or benefit obligations."
hr6262-112,,,"The bill focuses on individual income tax rates, credits, and deductions for families and small businesses, rather than regulating private employer obligations regarding wages, hours, or employee benefit plans."
hr2897-113,,,"The bill authorizes grants for K-12 curriculum development in arts, sciences, and other subjects, which does not involve private employer wage, hour, or benefit obligations."
hr3276-112,,,"The bill designates a USPS facility name, which involves a government entity and does not regulate private employer wage, hour, or benefit obligations."
hr3842-112,,,"The bill addresses federal funding restrictions regarding lawsuits against state immigration laws and does not involve private employer wage, hour, or benefit obligations."
hr3493-112,,,"The bill establishes a commission to study economic insecurity and employment displacement but does not directly regulate private employer wage, hour, or benefit obligations or address specific corporate misconduct."
s3265-114,,,"The bill addresses rail passenger safety and licensing requirements for locomotive operators regarding DUI convictions, which does not involve private employer wage, hour, or benefit obligations."
s646-114,,,"The bill mandates mental health screenings for individuals enlisting in the Armed Forces, which involves government military personnel rather than private sector employers and their wage, hour, or benefit obligations."
hr1610-113,,,"The bill addresses agricultural commodity base acres and production rules for fruits and vegetables, containing no provisions related to private employer wage, hour, or benefit obligations."
s937-114,,,"The bill concerns the management of federal grazing permits and land use by state governments, involving no private employer wage, hour, or benefit obligations."
hr6310-114,,,"The bill addresses benefits administered by the Department of Veterans Affairs for homeless veterans, which are government-administered programs rather than employer-sponsored benefits or wage obligations subject to private corporate misconduct."
hr306-113,,,"This is a private relief bill addressing the specific immigration or legal status of an individual, not a legislative measure regulating private employer wage, hour, or benefit obligations."
s1781-115,,,"The bill focuses on law enforcement training and prosecution of general white-collar crimes, such as fraud and cybercrime, rather than regulating private employer obligations regarding wages, hours, or employee benefits."
s2792-115,,,"The bill focuses on modernizing FAA training standards for aviation maintenance technician schools and does not regulate private employer wage, hour, or benefit obligations."
hr1137-115,,,"The bill regulates the importation of collectible firearms under the Arms Export Control Act and does not address private employer wage, hour, or benefit obligations."
hjres38-115,,,"The bill addresses environmental regulations regarding surface coal mining and water quality, which does not involve private employer wage, hour, or benefit obligations."
hr1338-113,,,"The bill regulates corporate political spending and electioneering communications under the Federal Election Campaign Act, which does not involve private employer obligations regarding wages, hours, or employee benefits."
hr339-115,,,"The bill focuses on immigration visa provisions (CW-1) and construction permit allocations in the Northern Mariana Islands, rather than regulating private employer wage, hour, or benefit obligations."
hr4069-112,,,"The bill awards a Congressional Gold Medal to an individual for intelligence activities and does not regulate private employer wage, hour, or benefit obligations."
hr4164-114,,,"The bill regulates federal agency procurement and law enforcement powers, involving no private employer wage, hour, or benefit obligations."
s106-114,,,"The bill addresses jurisdictional issues regarding environmental contamination claims under the Clean Water Act and does not involve private employer wage, hour, or benefit obligations."
s3031-112,,,"The bill addresses tariff suspensions for a chemical product under the Harmonized Tariff Schedule, which is unrelated to private employer wage, hour, or benefit obligations."
hr554-116,,,"The bill focuses on international affairs and human rights reporting regarding Saudi Arabian educational materials, containing no provisions related to private employer wage, hour, or benefit obligations."
hr2072-114,,,"The bill focuses on environmental protection and mining regulations on federal lands, containing no provisions related to private employer wage, hour, or benefit obligations."
hr6526-111,,,"The bill addresses death gratuities for Members of Congress, which are government employee benefits, and does not involve private employer wage, hour, or benefit obligations."
hr2055-112,,,"The bill appropriates funds for military personnel compensation and Department of Veterans Affairs operations, which involve government employees and public-sector benefits rather than private employer wage, hour, or benefit obligations."
hr3743-114,,,"The bill regulates the use of private email servers by federal government officials, which involves public-sector conduct rather than private employer wage, hour, or benefit obligations."
hr1405-114,,,"The bill focuses on railroad safety technology grants and communication systems, which does not involve private employer wage, hour, or benefit obligations."
hr6220-112,,,"The bill addresses employment discrimination and hiring practices regarding criminal history, which does not involve private employer obligations related to wages, overtime, benefits, or leave protections."
s256-114,,,"The bill amends the McKinney-Vento Homeless Assistance Act to redefine homelessness and adjust federal grant criteria for housing assistance, which does not involve private employer wage, hour, or benefit obligations."
hr5376-113,,,"The bill regulates federal subsidies for telecommunications services under the Lifeline program and does not address private employer obligations regarding wages, hours, or employee benefits."
hr5866-115,,,"The bill authorizes work-study allowances for veterans under VA-administered programs, which involves government benefits rather than private employer wage, hour, or benefit obligations."
s2864-112,,,"The bill addresses tariff suspensions for a specific chemical product under the Harmonized Tariff Schedule, which is unrelated to private employer wage, hour, or benefit obligations."
s2389-115,,,"The bill addresses federal criminal sentencing procedures for capital cases and does not involve private employer wage, hour, or benefit obligations."
s4043-111,,,"The bill focuses on public health grants for suicide prevention and mental health services in educational settings, rather than regulating private employer wage, hour, or benefit obligations."
s1860-112,,,"The bill addresses foreign aid and United Nations funding restrictions related to Palestine's membership status, which involves no private employer wage, hour, or benefit obligations."
s1860-115,,,"The bill regulates mergers and consolidations of public utilities under the Federal Power Act and does not address private employer wage, hour, or benefit obligations."
s1234-116,,,"The bill establishes a federal agency for nuclear waste management and does not address private employer wage, hour, or benefit obligations."
s3162-112,,,"The bill addresses tariff suspensions for a specific chemical product and does not involve private employer wage, hour, or benefit obligations."
hr596-116,,,"The bill addresses foreign policy and non-recognition of Russian sovereignty over Crimea, containing no provisions related to private employer wage, hour, or benefit obligations."
hr5068-112,,,"The bill addresses tariff suspensions for a specific chemical product under the Harmonized Tariff Schedule, which is unrelated to private employer wage, hour, or benefit obligations."
hr2405-114,,,"The bill provides tax expensing rules for film, television, and theatrical productions, which relates to business deductions and intellectual property rather than private employer wage, hour, or benefit obligations."
hr3977-115,,,"The bill establishes a federal lending institution for infrastructure projects and modifies tax provisions for bond issuance, containing no regulations or enforcement mechanisms regarding private employer wage, hour, or benefit obligations."
hr1876-116,,,"The bill focuses on financial exploitation of senior investors and securities regulation, which does not involve private employer wage, hour, or benefit obligations under FLSA, ERISA, or FMLA."
s69-115,,,"The bill establishes general procedural requirements for federal agency rulemaking and cost-benefit analysis, rather than directly regulating private employer wage, hour, or benefit obligations."
hr1053-114,,,"The bill establishes a regulatory framework for consumer data privacy and security under the FTC, which does not involve private employer obligations regarding wages, hours, or employee benefits such as those covered by the FLSA, WARN Act, ERISA, or FMLA."
hr2110-112,,,"The bill focuses on environmental protection, water quality, and stormwater permits under the Clean Water Act, containing no provisions related to private employer wage, hour, or benefit obligations."
hr2081-114,,,"The bill extends a construction deadline for a hydroelectric project regulated by the Federal Energy Regulatory Commission and does not address private employer wage, hour, or benefit obligations."
hr2625-114,,,"The bill regulates Federal Reserve emergency lending programs and financial institution solvency, which does not involve private employer wage, hour, or benefit obligations."
hr2911-115,,,"The bill establishes a museum within the Smithsonian Institution, a federal entity, and does not regulate private employer wage, hour, or benefit obligations."
s2365-112,,,"The bill focuses on offshore oil and gas leasing, environmental regulations, and permitting processes, with no provisions addressing private employer wage, hour, or benefit obligations."
hr886-115,,,"The bill addresses educational access for military dependents within Department of Defense schools, which involves government-administered benefits and public-sector entities rather than private employer wage, hour, or benefit obligations."
hr2649-112,,,"The bill provides a personal income tax deduction for individual fitness expenses and does not regulate private employer wage, hour, or benefit obligations."
hr5381-115,,,"The bill focuses on transferring federal credit, guarantee, and insurance risks to the private sector for government programs, which does not involve private employer obligations regarding wages, hours, or employee benefits."
s2987-112,,,"The bill addresses tariff suspensions for specific chemical imports under the Harmonized Tariff Schedule, which is unrelated to private employer wage, hour, or benefit obligations."
hr3660-114,,,"The bill focuses on Congressional Budget Office scoring methodologies for preventive health legislation and does not regulate private employer wage, hour, or benefit obligations."
hr2367-114,,,"The bill addresses eligibility for military service academies and commissioning in the Armed Forces, which involves government personnel and national security rather than private employer wage, hour, or benefit obligations."
s3213-114,,,"The bill focuses on transparency of payments from the federal Judgment Fund and government liability, which does not involve private employer wage, hour, or benefit obligations."
s2832-112,,,"The bill suspends import duties on a specific chemical product and does not address private employer wage, hour, or benefit obligations."
hr4792-112,,,"The bill suspends import duties on allyl bromide, which is a trade policy measure unrelated to private employer wage, hour, or benefit obligations."
hr4722-115,,,"The bill designates a USPS facility name, which involves a government entity and does not regulate private employer wage, hour, or benefit obligations."
hr4042-115,,,"The bill designates a USPS facility name in honor of military personnel and does not regulate private employer wage, hour, or benefit obligations."
s2008-115,,,"The bill focuses on law enforcement grants and forensic testing to combat the opioid epidemic, containing no provisions related to private employer wage, hour, or benefit obligations."
s2826-113,,,"The bill addresses federal student loan forgiveness for public service employees, which involves government-administered debt relief rather than private employer wage, hour, or benefit obligations."
hr1894-112,,,"The bill addresses criminal procedure and sentencing within military commissions, which involves government military justice rather than private employer wage, hour, or benefit obligations."
hr2288-112,,,"The bill addresses TRICARE benefits for military dependents, which are administered by the Department of Defense and do not involve private employer wage, hour, or benefit obligations."
hjres121-115,,,"The bill proposes a constitutional amendment regarding parental rights in education and child-rearing, which does not regulate private employer wage, hour, or benefit obligations."
s1381-115,,,"The bill concerns Department of Defense procurement authorities and military command structure, involving no private employer wage, hour, or benefit obligations."
hr3125-113,,,"The bill authorizes grants for bio-based aviation fuel research and training for military and civilian personnel within a government-funded program, involving no private employer wage, hour, or benefit obligations."
hr3717-112,,,"The bill focuses on environmental restoration and water quality management for the Long Island Sound, involving no regulations or obligations related to private employer wage, hour, or benefit misconduct."
hr2817-112,,,"The bill authorizes appropriations for youth sports instructional programs under the Community Services Block Grant Act and does not regulate private employer wage, hour, or benefit obligations."
hr3024-115,,,"The bill focuses on preventing child abuse and neglect in residential programs for teens, which falls under child welfare and safety rather than private employer wage, hour, or benefit obligations."
s1373-114,,,"The bill focuses on higher education funding, student loan interest rates, and securities transaction taxes, none of which regulate private employer wage, hour, or benefit obligations under statutes like the FLSA, ERISA, or FMLA."
s1639-112,,,"The bill concerns the internal governance and charter authority of the American Legion, a federally chartered veterans' organization, and does not regulate private employer wage, hour, or benefit obligations."
hr4327-113,,,"The bill regulates Federal Energy Regulatory Commission (FERC) procedures regarding utility rates and capacity zones, which does not involve private employer wage, hour, or benefit obligations."
s3222-111,,,"The bill authorizes a study on commemorating the historical role of Buffalo Soldiers in National Parks, which involves public lands and military history rather than private employer wage, hour, or benefit obligations."
hr3783-113,,,"The bill extends a government-administered high-risk health insurance pool for uninsured individuals with preexisting conditions, rather than regulating private employer obligations regarding employee-sponsored benefit plans under ERISA or other wage and hour statutes."
s771-114,,,"The bill focuses on designating manufacturing universities and funding higher education programs, which does not involve private employer wage, hour, or benefit obligations."
hr3659-114,,,"The bill addresses individual eligibility for government-subsidized health insurance exchanges and tax credits based on immigration status, rather than regulating private employer obligations regarding wages, hours, or employer-sponsored benefit plans."
hr5818-111,,,"The bill addresses Congressional budget procedures and legislative rules regarding unfunded federal mandates on the private sector, rather than regulating specific employer wage, hour, or benefit obligations or misconduct."
hr4611-113,1.0,Wage Hour & Benefits,"The bill amends the Fair Labor Standards Act to prevent private employers from misclassifying employees as independent contractors, thereby ensuring compliance with minimum wage, overtime, and other wage and hour obligations."
hr3455-116,,,"This is a private bill providing individual relief to a specific person, which does not regulate corporate misconduct or private employer wage, hour, or benefit obligations."
hr2499-113,1.0,Wage Hour & Benefits,"The bill modifies tax exclusions and deductions for employer-provided health coverage, directly regulating the financial obligations and incentives associated with private employer-sponsored welfare benefit plans."
hr182-112,,,"The bill establishes a commission to evaluate the economic impact of the American Recovery and Reinvestment Act, focusing on macroeconomic job creation and government fund allocation rather than regulating private employer wage, hour, or benefit obligations."
s2477-113,,,"The bill concerns foreign aid and military assistance to Egypt, involving no private employer wage, hour, or benefit obligations."
s1181-112,,,"The bill authorizes the minting of commemorative coins and directs surcharges to an agricultural education foundation, containing no provisions related to private employer wage, hour, or benefit obligations."
hr2227-113,,,"The bill addresses sexual assault prevention and response protocols within the Department of Defense and Armed Forces, which involves government employees and military personnel rather than private employer wage, hour, or benefit obligations."
s954-116,,,"The bill provides grants to law enforcement agencies for equipment and training, which involves government entities rather than regulating private employer wage, hour, or benefit obligations."
hr2588-115,,,"The bill addresses foreign intelligence surveillance and data collection procedures under the Foreign Intelligence Surveillance Act, which involves national security and privacy issues rather than private employer wage, hour, or benefit obligations."
hr3375-113,,,"The bill designates a Department of Veterans Affairs clinic, which is a government entity, and does not regulate private employer wage, hour, or benefit obligations."
hr5886-113,,,"The bill focuses on wildlife conservation, ivory trade regulations, and the deployment of federal law enforcement officers, containing no provisions related to private employer wage, hour, or benefit obligations."
hr205-115,,,"The bill mandates labeling for genetically engineered fish under food safety laws, which does not involve private employer wage, hour, or benefit obligations."
hr6330-111,,,"The bill addresses individual income tax rates on dividends and capital gains, which does not involve private employer wage, hour, or benefit obligations or misconduct."
s913-115,,,"The bill establishes a federal initiative for home modifications for older individuals under the Older Americans Act, which does not involve private employer wage, hour, or benefit obligations."
s1095-115,,,"The bill concerns wildlife management and conservation on federal lands, involving no private employer wage, hour, or benefit obligations."
hr1191-114,,,"The bill concerns congressional oversight of international nuclear agreements and sanctions regarding Iran, which falls under foreign policy and national security rather than private employer wage, hour, or benefit obligations."
hr3700-115,,,"The bill addresses tax incentives for educational infrastructure through qualified zone academy bonds and does not regulate private employer wage, hour, or benefit obligations."
s1543-113,,,"The bill addresses pay for military personnel and government contractors during a federal funding gap, which involves government employee compensation and public sector obligations rather than private employer wage and hour misconduct."
sjres56-115,,,"The bill addresses consumer lending regulations and nullifies a CFPB rule on high-cost loans, which does not involve private employer wage, hour, or benefit obligations."
hr6301-114,,,"The bill regulates bonus recoupment for members of the uniformed services, which are government employees, and thus falls under the exclusion for military pay and government employee compensation."
hr4055-112,,,"The bill regulates revenue sources for proprietary higher education institutions regarding federal student aid and military/veteran education benefits, which does not involve private employer wage, hour, or employee benefit obligations."
hr4211-116,,,"The bill focuses on animal welfare enforcement and USDA licensing for dealers and exhibitors, which does not involve private employer wage, hour, or benefit obligations."
hr6893-115,,,"The bill addresses overtime pay exemptions for U.S. Secret Service officers, who are federal government employees, and thus falls outside the scope of private employer wage and hour misconduct."
hr6107-112,,,"The bill regulates telemedicine practices for health care professionals within the Department of Veterans Affairs, a federal government agency, and does not address private employer wage, hour, or benefit obligations."
hr6199-111,,,"The bill directs a study for potential National Park designation of historic sites in Tulsa, Oklahoma, and does not involve private employer wage, hour, or benefit obligations."
hr3012-113,,,"The bill reorganizes federal financial regulatory agencies (SEC and CFTC) and does not address private employer obligations regarding wages, hours, or employee benefits."
s3113-114,,,"The bill authorizes grants for caregiver support services under the Public Health Service Act and does not regulate private employer wage, hour, or benefit obligations."
hr5499-114,,,"The bill addresses federal budget procedures and the deposit of agency fines into the Treasury, rather than regulating private employer obligations regarding wages, hours, or employee benefits."
hr4512-113,,,"The bill establishes a maximum tax rate on individual taxpayers and does not regulate private employer obligations regarding wages, hours, or employee benefits."
s2913-112,,,"The bill addresses tariff suspensions for specific industrial bearings under the Harmonized Tariff Schedule, which is unrelated to private employer wage, hour, or benefit obligations."
hr1944-115,,,"The bill regulates commercial filming permits and fees on federal lands, which does not involve private employer wage, hour, or benefit obligations."
s2314-115,,,"The bill focuses on hiring and staffing levels for U.S. Customs and Border Protection, a federal government agency, and does not regulate private employer wage, hour, or benefit obligations."
hr1774-115,,,"The bill focuses on authorizing and improving SBA programs for small business development, education, and counseling, rather than regulating private employer wage, hour, or benefit obligations."
hr1858-115,,,"The bill designates a USPS facility name in tribute to a military service member and does not regulate private employer wage, hour, or benefit obligations."
s970-115,,,"The bill addresses healthcare services provided by the Department of Veterans Affairs to newborns of veterans, which involves a government agency rather than private employer wage, hour, or benefit obligations."
hr2511-112,,,"The bill addresses intellectual property rights and copyright protection for fashion designs and vessel hulls, which does not involve private employer wage, hour, or benefit obligations."
s3105-114,,,"The bill authorizes the minting of commemorative coins and distributes surcharges to historical and cultural organizations, containing no provisions related to private employer wage, hour, or benefit obligations."
s1145-112,,,"The bill addresses criminal jurisdiction over federal employees and contractors for violent crimes and other offenses abroad, which does not involve private employer wage, hour, or benefit obligations."
hr2661-115,,,"The bill concerns the distribution of mineral royalties between the federal government and states, involving no private employer wage, hour, or benefit obligations."
hr140-115,,,"The bill addresses immigration and citizenship status under the Immigration and Nationality Act, which does not involve private employer wage, hour, or benefit obligations."
s1673-114,,,"The bill focuses on passenger vessel safety, security, and consumer protection standards for cruise lines, rather than regulating private employer wage, hour, or benefit obligations such as minimum wage, overtime, or pension plans."
hr49-113,,,"The bill focuses on federal oil and gas leasing policies and environmental regulations in Alaska, containing no provisions regarding private employer wage, hour, or benefit obligations."
s2040-116,,,"The bill focuses on establishing a working group for electric vehicle development and infrastructure, which does not involve private employer wage, hour, or benefit obligations."
s486-115,,,"The bill addresses Medicare payment rates for durable medical equipment, which involves government healthcare program administration rather than private employer wage, hour, or benefit obligations."
s644-112,,,"The bill exclusively regulates retirement benefits for federal employees and Members of Congress, excluding private-sector employers from its scope."
hr1418-115,,,"The bill addresses Native American land claims and tribal recognition under the Alaska Native Claims Settlement Act, which involves federal-Indian relations and government-administered settlements rather than private employer wage, hour, or benefit obligations."
hr5758-111,,,"The bill designates a USPS facility name in tribute to a military service member and does not regulate private employer wage, hour, or benefit obligations."
s1380-112,,,"The bill focuses on suspending federal immigration enforcement authorities and definitions of unauthorized aliens, rather than regulating private employer wage, hour, or benefit obligations."
hr4920-111,1.0,Wage Hour & Benefits,"The bill introduces tax credits and grants that incentivize private employers to hire and pay wages to specific youth demographics, directly relating to employer wage obligations and employment practices."
hr4576-114,,,"The bill focuses on implementing international fisheries conservation conventions and regulating commercial fishing activities, with no provisions addressing private employer wage, hour, or benefit obligations."
s46-114,,,"The bill concerns foreign aid and border security policy regarding Mexico, containing no provisions related to private employer wage, hour, or benefit obligations."
s3355-115,,,"The bill addresses veterans' disability compensation and healthcare benefits administered by the Department of Veterans Affairs, which are government-administered programs rather than private employer wage, hour, or benefit obligations."
s2235-112,,,"The bill regulates airport screening procedures and passenger access rights, which does not involve private employer wage, hour, or benefit obligations."
hr4807-111,,,"The bill focuses on enforcing international sanctions against Iran and does not address private employer obligations regarding wages, hours, or employee benefits."
sjres5-112,,,"The bill proposes a constitutional amendment to balance the federal budget and restrict government spending, which does not regulate private employer wage, hour, or benefit obligations."
hr3303-112,,,"The bill expands travel benefits for military personnel under the Department of Defense, which is a government entity, and does not regulate private employer wage, hour, or benefit obligations."
s1017-114,,,"The bill focuses on federal siting authority for interstate electric transmission facilities and does not address private employer wage, hour, or benefit obligations."
hr5858-115,1.0,Wage Hour & Benefits,"The bill mandates specific coverage requirements for primary care services within high deductible health plans, directly regulating employer-sponsored group health benefit plan obligations under ERISA."
hr1405-116,,,"The bill focuses on federal statistical data collection and reporting for Puerto Rico and other U.S. territories, involving no regulation of private employer wage, hour, or benefit obligations."
hr3238-115,,,"The bill focuses on expanding federal disaster relief eligibility for common interest communities and housing cooperatives under the Stafford Act, which does not involve private employer wage, hour, or benefit obligations."
hjres57-115,,,"The bill addresses educational accountability standards under the Elementary and Secondary Education Act and does not involve private employer wage, hour, or benefit obligations."
s244-115,,,"The bill repeals wage requirements for workers on federally financed or assisted construction contracts, which involves government procurement and public works rather than private employer wage, hour, or benefit misconduct."
s986-112,,,"The bill regulates tax subsidies and excise tax allocations for rum producers in Puerto Rico and the Virgin Islands, which does not involve private employer wage, hour, or benefit obligations."
hr819-115,,,"The bill restricts eligibility for the Earned Income Tax Credit based on immigration status, which is a federal tax and immigration policy matter, rather than regulating private employer obligations regarding wages, hours, or benefits."
hr4960-111,,,"The bill addresses Medicare reimbursement formulas and hospital wage indices for payment purposes, which are federal healthcare financing mechanisms rather than private employer obligations regarding employee wages, hours, or benefits under statutes like the FLSA or ERISA."
hr6380-111,,,"The bill authorizes the National Park Service to establish a historic site annex in the Northern Mariana Islands, which involves public lands and federal agency operations rather than private employer wage, hour, or benefit obligations."
hr1327-112,,,"The bill provides tax-exempt status for grants to college fraternities and sororities for housing infrastructure, which does not involve private employer wage, hour, or benefit obligations."
hr245-112,,,"The bill modifies the Federal Reserve's macroeconomic mandate regarding maximum employment and does not regulate private employer wage, hour, or benefit obligations."
hr3287-113,,,"The bill addresses access to Department of Veterans Affairs facilities for veterans service organizations during a government shutdown, which involves federal agency operations and veterans' services rather than private employer wage, hour, or benefit obligations."
s1311-112,,,"The bill focuses on education funding and program requirements for schools and nonprofits, containing no provisions regulating private employer wage, hour, or benefit obligations."
s2072-115,,,"The bill focuses on environmental protection and the elimination of asbestos exposure under the Toxic Substances Control Act, which does not involve private employer wage, hour, or benefit obligations."
hr3155-114,,,"The bill focuses on juvenile justice, police custody procedures, and law enforcement grants, which do not involve private employer wage, hour, or benefit obligations."
s2068-112,,,"The bill regulates insurance industry administrative cost calculations and medical-loss ratios under the Public Health Service Act, rather than addressing private employer misconduct regarding wage payment, overtime, pension management, or benefit plan obligations under FLSA, ERISA, or FMLA."
hr1959-113,,,"The bill amends the Clean Air Act to modify renewable fuel volume requirements and definitions, which relates to environmental policy rather than private employer wage, hour, or benefit obligations."
hr1783-113,,,"The bill focuses on federal loan guarantees and grants for school infrastructure and food service training, which does not involve private employer wage, hour, or benefit obligations or misconduct."
hr298-113,,,"The bill directs a study on the feasibility of including a Civil War battlefield in the National Park System, which involves public lands and historic preservation rather than private employer wage, hour, or benefit obligations."
hr1851-116,,,"The bill provides tax incentives for economic development in disaster areas and does not regulate private employer wage, hour, or benefit obligations."
hr1126-112,,,"The bill concerns the disposal of federal lands by the Department of the Interior and does not involve private employer wage, hour, or benefit obligations."
hjres28-114,,,"The bill proposes a constitutional amendment regarding federal budget deficits and government spending limits, which does not regulate private employer wage, hour, or benefit obligations."
hr5407-112,,,"The bill addresses tariff suspensions for machine parts under foreign trade policy and does not regulate private employer wage, hour, or benefit obligations."
hr1911-116,,,"The bill exclusively addresses benefits for survivors of military personnel administered by the Department of Defense and Department of Veterans Affairs, which are government entities excluded from the scope of private employer wage and benefit misconduct."
s661-116,,,"The bill regulates the treatment and custody of unaccompanied children by federal agencies (DHS/CBP), which are government entities, and does not address private employer wage, hour, or benefit obligations."
s187-113,,,"The bill addresses deceptive consumer credit solicitation practices under the Truth in Lending Act, which does not involve private employer wage, hour, or benefit obligations."
hr749-112,,,"The bill addresses corporate income tax exemptions for foreign financing income and does not regulate private employer wage, hour, or benefit obligations."
hr1391-114,,,"The bill addresses federal Social Security tax rates and benefit formulas, which are government-administered public programs, rather than private employer obligations regarding wages, overtime, or employer-sponsored benefit plans."
hr4874-111,,,"The bill concerns federal-aid highway construction contract bidding procedures and does not regulate private employer wage, hour, or benefit obligations."
hr3274-113,,,"The bill addresses compensation and benefits for deceased members of the Armed Forces and their survivors, which involves government employees and military personnel rather than private employer wage, hour, or benefit obligations."
hr2984-112,,,"The bill designates federal lands as wilderness areas and does not involve private employer wage, hour, or benefit obligations."
hr1118-116,,,"The bill addresses tax deductions and credits for marijuana businesses under the Internal Revenue Code, which does not involve private employer wage, hour, or benefit obligations."
hjres19-116,,,"The bill proposes a constitutional amendment regarding term limits for members of Congress, which does not involve private employer wage, hour, or benefit obligations."
hr4201-114,,,"The bill addresses eligibility for government-administered public benefit programs (Medicaid, Medicare, SSI, CHIP) for individuals in custody, rather than regulating private employer obligations regarding wages, hours, or employer-sponsored benefits."
hr6025-114,,,"The bill directs the Treasury to mint commemorative coins and does not regulate private employer wage, hour, or benefit obligations."
